epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.103,1.66062,2.99507,1.16682,0.83253,0.88089,0.9564,0.5662,1.37988,1.51296,1.06556,0.000300669,0.000300669,0.000300669
2,162.323,1.41912,1.5102,1.08262,0.9385,0.95444,0.97779,0.6018,1.2745,1.05929,1.08379,0.000543906,0.000543906,0.000543906
3,202.896,1.32012,1.25806,1.0441,0.97773,0.96968,0.99042,0.60645,1.2777,0.93669,1.09049,0.000727149,0.000727149,0.000727149
4,243.295,1.28184,1.07499,1.04235,0.98325,0.97457,0.99049,0.64182,1.21164,0.81726,1.06206,0.000639027,0.000639027,0.000639027
5,283.523,1.26891,0.99735,1.03265,0.98706,0.98839,0.99099,0.6429,1.20688,0.77621,1.06032,0.000549036,0.000549036,0.000549036
6,323.97,1.23565,0.92129,1.01923,0.97811,0.98894,0.99129,0.65004,1.18843,0.73537,1.04831,0.000459045,0.000459045,0.000459045
7,363.991,1.20993,0.84611,1.01007,0.9837,0.99074,0.9904,0.66058,1.15723,0.68907,1.05064,0.000369054,0.000369054,0.000369054
8,404.335,1.17977,0.81995,0.99217,0.9841,0.99073,0.98986,0.66373,1.17539,0.68204,1.04244,0.000279063,0.000279063,0.000279063
9,445.09,1.19674,0.77067,1.00591,0.98532,0.99218,0.99057,0.66966,1.14793,0.6388,1.04024,0.000189072,0.000189072,0.000189072
10,485.42,1.15634,0.74435,0.98765,0.98468,0.99045,0.99117,0.67033,1.1448,0.63014,1.03235,9.9081e-05,9.9081e-05,9.9081e-05
