rell_number,character accuracy,epoch,batch size
30.22%,81.06%,100,32
60.43%,90.01%,100,16
49.64%,86.91%,120,32
49.64%,86.91%,120,16
58.27%,89.67%,150,32
56.12%,87.94%,150,16
date,character accuracy,epoch,batch size
14.39%,67.27%,100,8
27.34%,78.40%,100,16
11.51%,71.46%,100,32
17.99%,71.17%,120,16
25.90%,74.98%,120,32
38.13%,79.83%,150,16
25.90%,74.79%,150,32
29.50%,77.55%,200,16
31.65%,79.54%,200,32
hour,character accuracy,epoch,batch size
95.00%,95.32%,50,16
92.86%,96.04%,50,32
95.71%,96.40%,100,16
78.57%,87.05%,100,32
95.00%,96.40%,150,32
minute,character accuracy,epoch,batch size
81.43%,89.64%,50,16
87.14%,92.14%,50,32
93.57%,95.36%,100,16
82.14%,88.21%,100,32
92.86%,95.36%,150,32
seconds,character accuracy,epoch,batch size
71.94%,77.49%,50,16
77.70%,72.72%,50,32
87.77%,91.10%,100,16
74.10%,81.68%,100,32
87.77%,91.62%,120,8
85.61%,88.48%,120,16
89.21%,91.10%,120,32
88.49%,91.10%,150,16
88.49%,92.15%,150,32
