ID,filter,rell_number,date,hour,minute,seconds,FTS.GZ,JPG
nso_0233_00786,521,FL7337,15Aug73,17,53,45,nso_0233_00786.fts.gz,nso_0233_00786.jpg
nso_0233_01572,521,FL7337,16Aug73,13,21,20,nso_0233_01572.fts.gz,nso_0233_01572.jpg
nso_0233_02359,521,FL7338,16Aug73,19,56,20,nso_0233_02359.fts.gz,nso_0233_02359.jpg
nso_0233_03145,521,FL7338,17Aug73,14,29,0,nso_0233_03145.fts.gz,nso_0233_03145.jpg
nso_0233_03931,521,FL7338,17Aug73,17,7,20,nso_0233_03931.fts.gz,nso_0233_03931.jpg
nso_0233_04723,521,FL7339,18Aug73,17,0,20,nso_0233_04723.fts.gz,nso_0233_04723.jpg
nso_0233_05509,521,FL7339,21Aug73,13,48,10,nso_0233_05509.fts.gz,nso_0233_05509.jpg
nso_0233_06295,521,FL7339,21Aug73,17,23,20,nso_0233_06295.fts.gz,nso_0233_06295.jpg
nso_0233_07081,521,FL7339,21Aug73,23,35,15,nso_0233_07081.fts.gz,nso_0233_07081.jpg
nso_0233_07867,521,FL7339,22Aug71,14,35,20,nso_0233_07867.fts.gz,nso_0233_07867.jpg
nso_0233_08653,521,FL7340,22Aug72,17,20,15,nso_0233_08653.fts.gz,nso_0233_08653.jpg
nso_0233_09439,521,FL7340,22Aug73,20,29,40,nso_0233_09439.fts.gz,nso_0233_09439.jpg
nso_0233_10225,521,FL7340,22Aug73,23,6,25,nso_0233_10225.fts.gz,nso_0233_10225.jpg
nso_0233_11011,521,FL7340,23Aug73,14,46,5,nso_0233_11011.fts.gz,nso_0233_11011.jpg
nso_0233_11797,521,FL7340,23Aug73,17,22,0,nso_0233_11797.fts.gz,nso_0233_11797.jpg
nso_0233_12583,521,FL7340,23Aug73,19,54,25,nso_0233_12583.fts.gz,nso_0233_12583.jpg
nso_0233_13369,521,FL7340,23Aug73,22,32,5,nso_0233_13369.fts.gz,nso_0233_13369.jpg
nso_0233_14155,521,FL7340,24Aug73,13,4,40,nso_0233_14155.fts.gz,nso_0233_14155.jpg
nso_0233_14941,521,FL7340,24Aug73,15,46,25,nso_0233_14941.fts.gz,nso_0233_14941.jpg
nso_0233_15727,521,FL7340,24Aug73,18,13,35,nso_0233_15727.fts.gz,nso_0233_15727.jpg
nso_0234_00760,521,FL7341,24Aug73,20,49,0,nso_0234_00760.fts.gz,nso_0234_00760.jpg
nso_0234_01520,521,FL7341,24Aug73,23,21,0,nso_0234_01520.fts.gz,nso_0234_01520.jpg
nso_0234_02280,521,FL7341,25Aug73,13,31,50,nso_0234_02280.fts.gz,nso_0234_02280.jpg
nso_0234_03040,521,FL7341,25Aug73,15,12,15,nso_0234_03040.fts.gz,nso_0234_03040.jpg
nso_0234_03800,521,FL7341,25Aug73,17,41,40,nso_0234_03800.fts.gz,nso_0234_03800.jpg
nso_0234_04560,521,FL7341,25Aug73,20,8,20,nso_0234_04560.fts.gz,nso_0234_04560.jpg
nso_0234_05320,521,FL7341,25Aug73,22,40,20,nso_0234_05320.fts.gz,nso_0234_05320.jpg
nso_0234_06080,521,FL7341,26Aug73,12,59,25,nso_0234_06080.fts.gz,nso_0234_06080.jpg
